producto,marca,formato,cantidad,precio,supermercado,categoria
Kiwi,Dia,Selección,1 unidad,0.55,Dia,Fruta y verduras
Piña gold premium unidad aprox.,Dia,Unidad,2 Kg,4.38,Dia,Fruta y verduras
Mango,Dia,Unidad,1 unidad,1.99,Dia,Fruta y verduras
Pulpa aguacate,Al Punto Dia,Tarrina,125 g,1.45,Dia,Fruta y verduras
Aguacate bio,Dia,Bandeja,400 g,2.79,Dia,Fruta y verduras
Guacamole,Al Punto Dia,Tarrina,400 g,2.95,Dia,Fruta y verduras
Piña Baby,Dia,Unidad,1 unidad,2.0,Dia,Fruta y verduras
Filetes de anchoa en aceite de girasol,Hacendado,Filetes,3 bandejas x 29 g,2.1,Mercadona,"Conservas, caldos y cremas"
Boquerones en vinagre  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),1.75,Mercadona,"Conservas, caldos y cremas"
Boquerones al vinagre  en aceite de girasol,Hacendado,Tarrina,330 g (265 g escurrido),5.8,Mercadona,"Conservas, caldos y cremas"
Filetes de anchoa en aceite de oliva,Hacendado,Lata,42 g (29 g escurrido),1.25,Mercadona,"Conservas, caldos y cremas"
Filetes de anchoa en aceite de oliva,Hacendado,Filetes,3 bandejas x 29 g,3.05,Mercadona,"Conservas, caldos y cremas"
Filetes de sardina anchoada  en aceite de girasol,Hacendado,Bandeja,80 g (60 g escurrido),1.6,Mercadona,"Conservas, caldos y cremas"
Migas de bacalao desaladas,Hacendado,Bandeja,300 g,6.55,Mercadona,Marisco y pescado
Filetes de sardina marinada  en aceite de oliva virgen extra,Hacendado,Bandeja,80 g (50 g escurrido),1.4,Mercadona,Marisco y pescado
Sucedáneo de caviar negro,Ubago Caviartic,Tarro,75 g,1.85,Mercadona,Marisco y pescado
Filetes de anchoa en aceite de oliva,Hacendado,Bandeja,140 g (110 g escurrido),6.7,Mercadona,"Conservas, caldos y cremas"
Filetes de anchoa en aceite de oliva,Hacendado,Lata,74 g (50 g escurrido),3.75,Mercadona,"Conservas, caldos y cremas"
Mojama de atún superior en taco  seca salada,Hacendado,Paquete,200 g aprox.,8.0,Mercadona,Marisco y pescado
Boquerones aliñados,Hacendado,Bandeja,80 g (60 g escurrido),1.8,Mercadona,Marisco y pescado
Migas de bacalao saladas,Hacendado,Bandeja,250 g,5.55,Mercadona,Marisco y pescado
Trozos de bacalao salado,Hacendado,Paquete,400 g,4.55,Mercadona,Marisco y pescado
Hoja de bacalao,Hacendado,Paquete,800 g aprox.,13.92,Mercadona,Congelados
Salmón ahumado,Hacendado,Paquete,100 g aprox.,3.8,Mercadona,Marisco y pescado
Salmón ahumado,Hacendado,Filetes,2 paquetes x 150 g,10.8,Mercadona,Marisco y pescado
Bacalao ahumado  en aceite de girasol,Hacendado,Bandeja,110 g (80 g escurrido),3.2,Mercadona,Marisco y pescado
Salmón marinado,Hacendado,Paquete,80 g,3.5,Mercadona,Marisco y pescado
Filetes de sardina ahumada  en aceite de girasol,Hacendado,Bandeja,85 g (65 g escurrido),2.0,Mercadona,Marisco y pescado
Taquitos de salmón ahumado,Hacendado,Paquete,100 g,3.8,Mercadona,Marisco y pescado
Whisky,Dyc,Botella,1 l,15.25,Dia,Bebidas con alcohol
Ron añejo,Barceló,Botella,70 cl,15.45,Dia,Bebidas con alcohol
Whisky,Ballantines,Botella,70 cl,12.95,Dia,Bebidas con alcohol
Ron añejo,Brugal,Botella,70 cl,15.7,Dia,Bebidas con alcohol
Whisky,J&b,Botella,70 cl,13.49,Dia,Bebidas con alcohol
Ron añejo,Velero,Botella,70 cl,5.95,Dia,Bebidas con alcohol
Ron añejo,Negrita,Botella,50 cl,6.99,Dia,Bebidas con alcohol
Whisky,Burned barrel,Botella,70 cl,5.99,Dia,Bebidas con alcohol
Whisky red label,Johnnie Walker,Botella,70 cl,15.99,Dia,Bebidas con alcohol
Whisky escocés,Douregal,Botella,  70 cl,6.0,Dia,Bebidas con alcohol
Ron dominicano viejo,Velero,Botella,70 cl,8.69,Dia,Bebidas con alcohol
Whisky black label,Johnnie Walker,Botella,70 cl,29.99,Dia,Bebidas con alcohol
