producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
Vino tinto crianza D.O. Utiel Requena,Mirandoli,Botella,75 cl,2.29,Dia,Bebidas con alcohol,190
Vino tinto tempranillo syrah,Pinta en Copas,Botella,75 cl,1.99,Dia,Bebidas con alcohol,191
Vino tinto reserva D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,5.99,Dia,Bebidas con alcohol,192
Vino tinto crianza D.O. Ribera del Duero,Arco del Sol,Botella,75 cl,4.49,Dia,Bebidas con alcohol,193
Vino tinto crianza D.O. Valdepeñas,Viña Danza,Botella,75 cl,2.19,Dia,Bebidas con alcohol,194
Vino tinto joven D.O. Valdepeñas,Viña Danza,Botella,75 cl,1.79,Dia,Bebidas con alcohol,195
Vino tinto reserva D.O. Rioja,Castillo de Haro,Botella,75 cl,6.99,Dia,Bebidas con alcohol,196
Vino tinto joven madurado D.O. Rioja,Castillo de Haro,Botella,75 cl,3.89,Dia,Bebidas con alcohol,197
Vino tinto reserva D.O. Valdepeñas,Viña Danza,Botella,75 cl,2.69,Dia,Bebidas con alcohol,198
Vino tinto viñas viejas D.O Toro,Campo curero,Botella,75 cl,5.09,Dia,Bebidas con alcohol,199
Vino tinto D.O Rioja,Berberana,Botella,750 ml,7.29,Dia,Bebidas con alcohol,200
Vino tinto do cádiz,Finca Moncloa,Botella,75 cl,16.25,Dia,Bebidas con alcohol,201
Vino tinto,Mayor de Castilla,Botella,75 cl,3.3,Dia,Bebidas con alcohol,202
Vino tinto merlot,Señorío de Ayerbe,Botella,75 cl,2.85,Dia,Bebidas con alcohol,203
Vino tinto gran reserva D.O. Rioja,Señorío de Ondas,Botella,75 cl,7.99,Dia,Bebidas con alcohol,204
Vino tinto D.O. Rioja,Beronia,Botella,75 cl,16.25,Dia,Bebidas con alcohol,205
Vino tinto D.O. Ribera del Duero,Celeste,Botella,75 cl,9.35,Dia,Bebidas con alcohol,206
Vino tinto de la tierra de Castila,Berberana,Botella,75 cl,4.89,Dia,Bebidas con alcohol,207
Vino tinto D.O. Penedés,Solell de Flix,Botella,75 cl,2.79,Dia,Bebidas con alcohol,208
Vino tinto reserva D.O. Rioja,Viña Pomal,Botella,75 cl,14.95,Dia,Bebidas con alcohol,209
Vino tinto crianza D.O. Rioja,Glorioso,Botella,75 cl,7.95,Dia,Bebidas con alcohol,210
Vino tinto crianza D.O. Ribera del Duero,Matarromera,Botella,75 cl,24.59,Dia,Bebidas con alcohol,211
Vino tinto roble D.O.,Ribera del Duero,Botella,75 cl,9.65,Dia,Bebidas con alcohol,212
Vino tinto D.O. Toro,Bajoz,Botella,75 cl,5.25,Dia,Bebidas con alcohol,213
Vino tinto gran reserva D.O. Rioja,Faustino,Botella,75 cl,19.99,Dia,Bebidas con alcohol,214
Vino tinto crianza D.O. Rioja,Azpilicueta,Botella,75 cl,8.75,Dia,Bebidas con alcohol,215
Vino tinto roble D.O. Ribera del Duero,Legaris,Botella,75 cl,8.95,Dia,Bebidas con alcohol,216
Vino tinto crianza D.O. Ribera del Duero,Protos,Botella,75 cl,19.95,Dia,Bebidas con alcohol,217
